s_inhib,neuron,name_mover,stat_in,stat_out,z_in,z_out,path_z
L7H9,L8N1961,L10H0,0.06386644840006507,0.1238196823042702,3.698511809073424,12.04953623224016,3.698511809073424
L7H3,L8N1458,L10H0,0.06379899756290718,0.06625052820279512,3.690403727639977,4.4509188619179945,3.690403727639977
L7H3,L8N1458,L9H6,0.06379899756290718,0.06582162645993865,3.690403727639977,4.484062020791953,3.690403727639977
L8H10,L8N1717,L10H0,0.06675133185092494,0.11130699183998691,3.6804888746147357,10.397972150826439,3.6804888746147357
L8H10,L8N1717,L9H6,0.06675133185092494,0.07304546823578173,3.6804888746147357,5.434531448148821,3.6804888746147357
L8H10,L8N1717,L9H9,0.06675133185092494,0.06036006789564817,3.6804888746147357,3.765463164095463,3.6804888746147357
L8H6,L8N538,L10H0,0.06673276992741302,0.10451327578446905,3.678551494734158,9.501261931018435,3.678551494734158
L8H6,L8N538,L9H6,0.06673276992741302,0.06581947304690877,3.678551494734158,4.483778687724468,3.678551494734158
L7H9,L7N2086,L9H6,0.07871906647250149,0.06032992116000807,4.929607709580547,3.6694512822680676,3.6694512822680676
L8H10,L8N2897,L9H6,0.06664459667677614,0.06333989491381595,3.6693485109119632,4.157530787870336,3.6693485109119632
L8H10,L8N2897,L9H9,0.06664459667677614,0.06298958312441649,3.6693485109119632,4.111438880517063,3.6693485109119632
L8H6,L8N1401,L9H6,0.06661042509286791,0.06602258008080417,3.6657818902915977,4.510502283310998,3.6657818902915977
L8H6,L8N1401,L10H0,0.06661042509286791,0.1343252682443772,3.6657818902915977,13.43618033107822,3.6657818902915977
L7H3,L7N2842,L10H0,0.06647447859245946,0.09847503231022531,3.6515926272792205,9.398068886212958,3.6515926272792205
L7H3,L7N2842,L9H6,0.06647447859245946,0.08539406308589483,3.6515926272792205,6.977695552707733,3.6515926272792205
L7H3,L7N2842,L9H9,0.06647447859245946,0.10772887939707325,3.6515926272792205,9.925693066896093,3.6515926272792205
L7H9,L7N365,L9H9,0.08387014009665242,0.06011569635612794,5.467245223084746,3.641175509567845,3.641175509567845
L7H9,L7N1427,L9H6,0.06634542362072181,0.06176333087645364,3.6381226598174714,3.858648642211433,3.6381226598174714
L7H3,L7N2906,L9H6,0.07170497472009409,0.059972508859555664,4.19751977521789,3.622276030920838,3.622276030920838
L8H10,L9N720,L10H0,0.06316014003038123,0.08634559496149352,3.6136084035735614,7.184481713537312,3.6136084035735614
L8H6,L8N1401,L9H9,0.06661042509286791,0.059151486054751734,3.6657818902915977,3.6064452722484783,3.6064452722484783
L7H9,L8N1401,L10H0,0.06309774888165505,0.1343252682443772,3.606108533506508,13.43618033107822,3.606108533506508
L7H9,L8N1401,L9H6,0.06309774888165505,0.06602258008080417,3.606108533506508,4.510502283310998,3.606108533506508
L7H9,L8N1401,L9H9,0.06309774888165505,0.059151486054751734,3.606108533506508,3.6064452722484783,3.606108533506508
L8H10,L8N3029,L9H6,0.06593964604531641,0.07369583710757235,3.5957700819677068,5.520103052334382,3.5957700819677068
L8H10,L8N3029,L9H9,0.06593964604531641,0.06612275825079222,3.5957700819677068,4.523683121266311,3.5957700819677068
